order_id,customer_id,order_date,product_category,order_value,payment_mode
ORD0001,CUST434,2024-04-20,Food,1048,Card
ORD0002,CUST452,2024-09-27,Automotive,13985,Card
ORD0003,CUST392,2025-02-16,Clothing,1370,UPI
ORD0004,CUST206,2024-02-22,Healthcare,10204,COD
ORD0005,CUST100,2025-01-06,Healthcare,5728,Card
ORD0006,CUST038,2025-01-30,Healthcare,8378,UPI
ORD0007,CUST392,2025-07-17,Clothing,7760,COD
ORD0008,CUST320,2025-11-27,Healthcare,2946,COD
ORD0009,CUST066,2024-04-09,Food,2028,COD
ORD0010,CUST407,2024-12-13,Healthcare,6990,Net Banking
ORD0011,CUST387,2024-05-27,Furniture,22741,Card
ORD0012,CUST261,2025-02-15,Healthcare,1659,UPI
ORD0013,CUST024,2024-02-09,Furniture,26382,COD
ORD0014,CUST171,2025-04-30,Healthcare,8487,COD
ORD0015,CUST077,2025-09-12,Healthcare,3290,UPI
ORD0016,CUST168,2025-09-19,Clothing,2331,UPI
ORD0017,CUST202,2025-09-23,Automotive,11805,UPI
ORD0018,CUST304,2024-12-10,Healthcare,14570,COD
ORD0019,CUST261,2025-06-29,Food,2805,COD
ORD0020,CUST154,2025-05-01,Electronics,29140,UPI
ORD0021,CUST170,2025-11-20,Electronics,32298,Card
ORD0022,CUST299,2024-11-11,Automotive,24545,UPI
ORD0023,CUST323,2024-01-28,Healthcare,8775,COD
ORD0024,CUST136,2025-11-02,Healthcare,10463,COD
ORD0025,CUST117,2024-02-22,Healthcare,8871,COD
ORD0026,CUST088,2025-06-20,Automotive,22307,Card
ORD0027,CUST397,2025-01-24,Furniture,29924,UPI
ORD0028,CUST349,2024-09-05,Electronics,42523,UPI
ORD0029,CUST486,2025-12-18,Electronics,17503,UPI
ORD0030,CUST010,2025-03-27,Clothing,4430,COD
ORD0031,CUST078,2025-02-26,Automotive,8681,COD
ORD0032,CUST211,2025-05-28,Healthcare,8726,COD
ORD0033,CUST447,2024-03-04,Automotive,6524,COD
ORD0034,CUST266,2024-07-31,Healthcare,6325,Card
ORD0035,CUST340,2025-05-04,Healthcare,7173,Net Banking
ORD0036,CUST161,2024-06-26,Food,2683,COD
ORD0037,CUST176,2025-07-13,Clothing,6536,COD
ORD0038,CUST396,2025-11-28,Automotive,24718,UPI
ORD0039,CUST136,2025-09-16,Food,1287,Card
ORD0040,CUST491,2024-09-09,Clothing,5571,UPI
ORD0041,CUST153,2024-08-18,Clothing,7317,COD
ORD0042,CUST148,2025-12-22,Furniture,25617,Card
ORD0043,CUST361,2025-05-15,Clothing,4930,UPI
ORD0044,CUST179,2025-07-27,Automotive,10960,Card
ORD0045,CUST148,2024-05-04,Healthcare,12085,Card
ORD0046,CUST279,2025-01-23,Food,1913,UPI
ORD0047,CUST489,2024-05-29,Clothing,1344,UPI
ORD0048,CUST148,2024-03-21,Clothing,4623,Card
ORD0049,CUST336,2024-09-19,Automotive,17698,Card
ORD0050,CUST110,2024-07-25,Healthcare,5442,Net Banking
ORD0051,CUST478,2025-07-29,Automotive,10900,Card
ORD0052,CUST071,2024-04-21,Healthcare,13138,COD
ORD0053,CUST301,2024-09-02,Furniture,4663,Card
ORD0054,CUST343,2025-06-27,Furniture,23904,Card
ORD0055,CUST120,2024-02-23,Electronics,32086,COD
