route_id,source_city,destination_city,distance_km
RT001,Hyderabad,Bangalore,570
RT002,Hyderabad,Chennai,630
RT003,Hyderabad,Mumbai,710
RT004,Hyderabad,Pune,560
RT005,Hyderabad,Visakhapatnam,620
RT006,Bangalore,Chennai,350
RT007,Bangalore,Mumbai,980
RT008,Bangalore,Delhi,2150
RT009,Mumbai,Delhi,1420
RT010,Mumbai,Ahmedabad,530
RT011,Mumbai,Pune,150
RT012,Delhi,Jaipur,280
RT013,Delhi,Kolkata,1530
RT014,Chennai,Visakhapatnam,800
RT015,Chennai,Kolkata,1660
RT016,Ahmedabad,Jaipur,670
RT017,Pune,Hyderabad,560
RT018,Kolkata,Delhi,1530
RT019,Visakhapatnam,Hyderabad,620
RT020,Jaipur,Mumbai,1140
