shipment_id,order_id,warehouse_id,vehicle_id,driver_id,route_id,dispatch_date,expected_delivery_date,actual_delivery_date,shipment_weight,shipping_cost,status,delivery_type
SHP0001,ORD0001,WH001,VEH001,DRV050,RT001,2024-02-01,2024-02-02,2024-02-01,169.1,1091.23,Delivered,Inter-City
SHP0002,ORD0002,WH010,VEH003,DRV006,RT007,2025-05-07,2025-05-14,2025-05-14,102.77,688.75,In Transit,Inter-City
SHP0003,ORD0003,WH009,VEH012,DRV004,RT020,2024-01-27,2024-02-02,2024-02-04,988.46,3832.32,Delayed,Inter-City
SHP0004,ORD0004,WH002,VEH017,DRV042,RT010,2024-10-26,2024-10-29,2024-10-29,89.62,616.28,Delivered,Inter-City
SHP0005,ORD0005,WH010,VEH019,DRV035,RT016,2024-10-21,2024-10-25,2024-10-23,910.7,2239.98,Delivered,Inter-City
SHP0006,ORD0006,WH003,VEH010,DRV033,RT020,2024-02-13,2024-02-16,2024-02-15,471.53,2377.86,Delivered,Inter-City
SHP0007,ORD0007,WH008,VEH001,DRV003,RT020,2024-02-20,2024-02-21,2024-02-19,264.98,920.45,Delivered,Local
SHP0008,ORD0008,WH006,VEH011,DRV006,RT012,2025-06-12,2025-06-15,2025-06-15,532.39,2359.07,In Transit,Local
SHP0009,ORD0009,WH010,VEH004,DRV016,RT014,2024-06-01,2024-06-08,2024-06-07,514.12,4084.17,Delivered,Inter-City
SHP0010,ORD0010,WH006,VEH002,DRV024,RT010,2024-06-23,2024-06-30,2024-07-05,378.45,851.98,Delayed,Inter-City
SHP0011,ORD0011,WH001,VEH016,DRV004,RT014,2024-07-31,2024-08-02,2024-08-02,413.13,2948.16,Returned,Local
SHP0012,ORD0012,WH009,VEH015,DRV040,RT012,2024-01-18,2024-01-25,2024-01-30,779.72,6018.37,Delayed,Inter-City
SHP0013,ORD0013,WH009,VEH006,DRV009,RT003,2024-03-03,2024-03-06,2024-03-06,928.5,6677.32,Delivered,Local
SHP0014,ORD0014,WH005,VEH017,DRV008,RT018,2025-06-25,2025-07-01,2025-07-01,265.3,1697.84,Delivered,Inter-City
SHP0015,ORD0015,WH003,VEH018,DRV031,RT016,2024-09-11,2024-09-16,2024-09-16,197.89,1248.51,In Transit,Inter-City
SHP0016,ORD0016,WH004,VEH017,DRV042,RT003,2025-02-13,2025-02-16,2025-02-16,159.09,380.73,Delivered,Inter-City
SHP0017,ORD0017,WH007,VEH020,DRV044,RT010,2024-06-23,2024-06-28,2024-07-03,646.96,3882.97,Delayed,Inter-City
SHP0018,ORD0018,WH005,VEH014,DRV020,RT006,2024-01-22,2024-01-24,2024-01-23,757.7,2108.73,Delivered,Local
SHP0019,ORD0019,WH009,VEH014,DRV014,RT004,2024-11-13,2024-11-20,2024-11-19,86.76,628.2,Delivered,Inter-City
SHP0020,ORD0020,WH007,VEH010,DRV041,RT013,2024-06-09,2024-06-12,2024-06-12,946.41,4014.66,In Transit,Inter-City
SHP0021,ORD0021,WH005,VEH002,DRV012,RT013,2024-08-22,2024-08-28,2024-08-26,372.2,1958.08,Delivered,Inter-City
SHP0022,ORD0022,WH003,VEH010,DRV013,RT001,2025-11-15,2025-11-16,2025-11-15,380.38,1699.21,Delivered,Inter-City
SHP0023,ORD0023,WH005,VEH010,DRV033,RT019,2025-06-27,2025-07-02,2025-07-02,773.18,4936.51,Delivered,Inter-City
SHP0024,ORD0024,WH006,VEH008,DRV036,RT017,2025-06-15,2025-06-17,2025-06-16,334.89,2623.82,Delivered,Inter-City
SHP0025,ORD0025,WH008,VEH020,DRV045,RT002,2025-11-20,2025-11-26,2025-11-25,42.35,259.22,Delivered,Inter-City
SHP0026,ORD0026,WH001,VEH010,DRV016,RT007,2024-08-09,2024-08-11,2024-08-10,198.36,1023.0,Delivered,Inter-City
SHP0027,ORD0027,WH010,VEH011,DRV046,RT004,2025-02-08,2025-02-14,2025-02-14,807.67,5520.98,Delivered,Inter-City
SHP0028,ORD0028,WH002,VEH004,DRV046,RT020,2025-04-10,2025-04-15,2025-04-14,722.65,4859.27,Delivered,Inter-City
SHP0029,ORD0029,WH009,VEH002,DRV039,RT007,2024-09-03,2024-09-08,2024-09-09,632.72,2017.07,Delayed,Inter-City
SHP0030,ORD0030,WH004,VEH005,DRV026,RT011,2024-08-19,2024-08-20,2024-08-19,855.54,5424.26,Delivered,Inter-City
SHP0031,ORD0031,WH002,VEH020,DRV049,RT017,2025-05-23,2025-05-30,2025-05-29,991.46,2549.88,Delivered,Inter-City
SHP0032,ORD0032,WH009,VEH014,DRV050,RT018,2025-06-21,2025-06-22,2025-06-23,911.95,2965.86,Delayed,Local
SHP0033,ORD0033,WH001,VEH001,DRV038,RT004,2024-12-08,2024-12-15,2024-12-14,116.45,322.27,Delivered,Inter-City
SHP0034,ORD0034,WH010,VEH017,DRV001,RT008,2025-12-05,2025-12-09,2025-12-12,474.91,2952.53,Delayed,Local
SHP0035,ORD0035,WH005,VEH010,DRV039,RT004,2025-03-01,2025-03-02,2025-02-28,681.72,2965.87,Delivered,Local
SHP0036,ORD0036,WH010,VEH012,DRV009,RT002,2024-03-19,2024-03-22,2024-03-20,75.56,206.96,Delivered,Inter-City
SHP0037,ORD0037,WH009,VEH019,DRV019,RT004,2025-07-06,2025-07-09,2025-07-11,235.19,1218.13,Delayed,Inter-City
SHP0038,ORD0038,WH006,VEH001,DRV038,RT005,2025-02-21,2025-02-23,2025-02-23,815.87,2403.61,Delivered,Inter-City
SHP0039,ORD0039,WH004,VEH020,DRV039,RT017,2024-05-31,2024-06-01,2024-06-01,454.04,1821.22,Delivered,Inter-City
SHP0040,ORD0040,WH007,VEH003,DRV006,RT009,2024-02-07,2024-02-13,2024-02-11,857.99,3229.21,Delivered,Local
SHP0041,ORD0041,WH009,VEH018,DRV027,RT002,2025-01-10,2025-01-16,2025-01-16,779.13,3135.96,Delivered,Inter-City
SHP0042,ORD0042,WH008,VEH013,DRV028,RT014,2024-02-17,2024-02-22,2024-02-20,100.51,651.11,Delivered,Local
SHP0043,ORD0043,WH007,VEH001,DRV003,RT007,2024-02-26,2024-03-02,2024-03-02,364.52,1599.14,Delivered,Local
SHP0044,ORD0044,WH010,VEH003,DRV049,RT001,2025-01-30,2025-02-01,2025-01-30,458.35,1797.77,Delivered,Inter-City
SHP0045,ORD0045,WH004,VEH004,DRV012,RT007,2024-09-17,2024-09-20,2024-09-19,56.79,260.03,Delivered,Local
SHP0046,ORD0046,WH009,VEH006,DRV028,RT019,2024-04-21,2024-04-25,2024-04-23,848.19,3856.59,Delivered,Inter-City
SHP0047,ORD0047,WH009,VEH005,DRV040,RT007,2025-06-21,2025-06-28,2025-06-27,293.95,2286.57,Delivered,Inter-City
SHP0048,ORD0048,WH002,VEH008,DRV020,RT018,2024-01-06,2024-01-13,2024-01-11,985.22,6582.71,Delivered,Local
SHP0049,ORD0049,WH006,VEH010,DRV016,RT016,2025-11-14,2025-11-19,2025-11-17,894.26,2520.89,Delivered,Inter-City
SHP0050,ORD0050,WH001,VEH007,DRV015,RT012,2025-09-21,2025-09-27,2025-09-27,58.13,348.91,Delivered,Inter-City
SHP0051,ORD0051,WH008,VEH001,DRV039,RT002,2025-06-03,2025-06-06,2025-06-04,582.94,1392.67,Delivered,Inter-City
SHP0052,ORD0052,WH005,VEH010,DRV037,RT006,2024-01-17,2024-01-23,2024-01-22,991.93,5453.03,Delivered,Inter-City
SHP0053,ORD0053,WH003,VEH013,DRV049,RT020,2025-12-24,2025-12-29,2025-12-27,942.88,4265.99,Delivered,Local
SHP0054,ORD0054,WH010,VEH019,DRV025,RT010,2025-07-19,2025-07-25,2025-07-23,760.7,4926.38,Delivered,Inter-City
